turn,speaker,chars,words,tokens_est
1,gpt,176,33,44
2,user,30,6,7
3,gpt,189,35,47
4,user,36,8,9
5,gpt,320,61,80
6,user,43,8,10
7,gpt,352,62,88
8,user,34,7,8
9,gpt,410,78,102
10,user,52,10,13
11,gpt,422,74,105
12,user,54,11,13
13,gpt,507,76,126
14,user,78,15,19
15,gpt,533,91,133
16,user,79,18,19
17,gpt,462,72,115
18,user,31,7,7
19,gpt,1048,183,262
20,user,86,15,21
21,gpt,934,166,233
22,user,120,24,30
23,gpt,915,168,228
24,user,72,16,18
25,gpt,623,112,155
26,user,53,10,13
27,gpt,1087,191,271
28,user,35,8,8
29,gpt,968,176,242
30,user,63,11,15
31,gpt,1553,279,388
32,user,41,9,10
33,gpt,1022,188,255
34,user,145,31,36
35,gpt,1028,178,257
36,user,6,2,1
37,gpt,1424,256,356
38,user,11,2,2
39,gpt,1132,197,283
40,user,12,3,3
41,gpt,1757,319,439
42,user,81,16,20
43,gpt,1052,177,263
44,user,77,14,19
45,gpt,1337,249,334
46,user,52,10,13
47,gpt,1228,216,307
48,user,31,6,7
49,gpt,984,171,246
50,user,1114,153,278
51,gpt,1783,294,445
52,user,21,3,5
53,gpt,1014,157,253
54,user,30,6,7
55,gpt,1375,261,343
56,user,72,13,18
57,gpt,1429,259,357
58,user,201,37,50
59,gpt,1423,245,355
60,user,190,40,47
61,gpt,941,158,235
62,user,89,17,22
63,gpt,1436,253,359
64,user,193,33,48
65,gpt,1397,236,349
66,user,82,14,20
67,gpt,1378,223,344
68,user,51,10,12
69,gpt,1511,258,377
70,user,219,40,54
71,gpt,1870,323,467
72,user,279,48,69
73,gpt,1768,292,442
74,user,111,22,27
75,gpt,1428,235,357
76,user,111,21,27
77,gpt,2402,422,600
78,user,26,5,6
79,gpt,1131,195,282
80,user,32,5,8
81,gpt,734,120,183
82,user,141,24,35
83,gpt,1335,224,333
84,user,222,33,55
85,gpt,2825,439,706
86,user,306,56,76
87,gpt,3565,536,891
88,user,94,15,23
89,gpt,2094,352,523
90,user,175,33,43
91,gpt,2894,483,723
92,user,213,34,53
93,gpt,1568,269,392
94,user,24,3,6
95,gpt,374,63,93
96,user,74,17,18
97,gpt,670,118,167
98,user,55,11,13
99,gpt,1182,201,295
100,user,124,22,31
101,gpt,1304,236,326
102,user,402,74,100
103,gpt,1738,279,434
104,user,233,45,58
105,gpt,1919,319,479
106,user,315,55,78
107,gpt,1833,305,458
108,user,238,46,59
109,gpt,1719,286,429
110,user,97,17,24
111,gpt,1358,213,339
112,user,321,60,80
113,gpt,1780,279,445
114,user,30,7,7
115,gpt,1019,182,254
116,user,73,14,18
117,gpt,1054,172,263
118,user,345,66,86
119,gpt,576,98,144
120,user,165,29,41
121,gpt,689,117,172
122,user,27,4,6
123,gpt,900,157,225
124,user,78,14,19
125,gpt,1358,230,339
126,user,132,27,33
127,gpt,2314,396,578
128,user,44,6,11
129,gpt,1927,339,481
130,user,210,40,52
131,gpt,2490,406,622
132,user,166,31,41
133,gpt,1986,327,496
134,user,172,30,43
135,gpt,1907,308,476
136,user,59,12,14
137,gpt,714,127,178
138,user,143,26,35
139,gpt,2083,346,520
140,user,482,84,120
141,gpt,2227,376,556
142,user,32,8,8
143,gpt,2354,399,588
144,user,121,24,30
145,gpt,1991,364,497
146,user,63,11,15
147,gpt,1101,177,275
148,user,199,35,49
149,gpt,1182,204,295
150,user,21,3,5
151,gpt,1192,206,298
152,user,80,15,20
153,gpt,2627,453,656
154,user,474,87,118
155,gpt,2062,358,515
156,user,69,14,17
157,gpt,2304,369,576
158,user,227,36,56
159,gpt,2279,370,569
160,user,148,26,37
161,gpt,1904,336,476
162,user,62,12,15
163,gpt,1506,257,376
164,user,37,9,9
165,gpt,1554,254,388
166,user,10,3,2
167,gpt,2827,471,706
168,user,209,38,52
169,gpt,1809,309,452
170,user,86,16,21
171,gpt,1338,237,334
172,user,38,7,9
173,gpt,1273,211,318
174,user,141,27,35
175,gpt,2379,397,594
176,user,69,11,17
177,gpt,2843,389,710
178,user,27,5,6
179,gpt,2376,402,594
180,user,26,6,6
181,gpt,1074,186,268
182,user,176,33,44
183,gpt,1539,275,384
184,user,57,11,14
185,gpt,2078,361,519
186,user,107,19,26
187,gpt,2275,406,568
188,user,80,15,20
189,gpt,1811,308,452
190,user,145,23,36
191,gpt,1647,281,411
192,user,432,81,108
193,gpt,2601,466,650
194,user,159,27,39
195,gpt,2034,333,508
196,user,174,32,43
197,gpt,1898,324,474
198,user,15,3,3
199,gpt,2280,392,570
200,user,34,6,8
201,gpt,2540,428,635
202,user,66,11,16
203,gpt,2059,363,514
204,user,91,17,22
205,gpt,1578,253,394
206,user,110,22,27
207,gpt,1633,290,408
208,user,51,9,12
209,gpt,2692,458,673
210,user,26,3,6
211,gpt,2129,355,532
212,user,66,11,16
213,gpt,1783,312,445
214,user,49,8,12
215,gpt,2105,359,526
216,user,33,6,8
217,gpt,2905,500,726
218,user,172,32,43
219,gpt,590,101,147
220,user,3062,518,765
221,user,131,25,32
222,gpt,2350,399,587
223,user,129,20,32
224,gpt,2703,460,675
225,user,235,41,58
226,gpt,2333,365,583
227,user,83,19,20
228,gpt,679,117,169
229,user,67,12,16
230,gpt,2701,450,675
231,user,50,8,12
232,gpt,3427,550,856
233,user,291,48,72
234,gpt,3829,646,957
235,user,190,23,47
236,gpt,1972,284,493
237,user,136,19,34
238,gpt,2325,321,581
239,user,10,3,2
240,gpt,1780,285,445
241,user,188,32,47
242,gpt,3088,501,772
243,user,228,44,57
244,gpt,2919,483,729
245,user,55,8,13
246,gpt,2167,325,541
247,user,77,16,19
248,gpt,1207,202,301
249,user,167,32,41
250,gpt,4119,633,1029
251,user,101,16,25
252,gpt,2668,412,667
253,user,134,25,33
254,gpt,1341,235,335
255,user,80,16,20
256,gpt,2549,444,637
257,user,85,17,21
258,gpt,1263,206,315
259,user,7,2,1
260,gpt,2755,443,688
261,user,13,2,3
262,gpt,2717,439,679
263,user,21,3,5
264,gpt,2378,412,594
265,user,15,4,3
266,gpt,2239,384,559
267,user,10,2,2
268,gpt,2197,371,549
269,user,42,9,10
270,gpt,2291,424,572
271,user,186,40,46
272,gpt,1794,308,448
273,user,19,3,4
274,gpt,1723,294,430
275,user,158,28,39
276,gpt,1964,337,491
277,user,161,29,40
278,gpt,1515,263,378
279,user,111,22,27
280,gpt,962,161,240
281,user,181,34,45
282,gpt,1385,242,346
283,user,139,27,34
284,gpt,1031,177,257
285,user,49,8,12
286,gpt,1706,305,426
287,user,103,19,25
288,gpt,983,163,245
289,user,163,31,40
290,gpt,1628,265,407
291,user,91,17,22
292,gpt,1621,250,405
293,user,79,16,19
294,gpt,1584,250,396
295,user,21,5,5
296,gpt,1370,214,342
297,user,34,5,8
298,gpt,1236,216,309
299,user,53,10,13
300,gpt,1738,268,434
301,user,54,11,13
302,gpt,1306,224,326
303,user,154,26,38
304,gpt,1574,272,393
305,user,45,4,11
306,gpt,745,126,186
307,user,138,27,34
308,gpt,1159,218,289
309,user,32,6,8
310,gpt,2009,370,502
311,user,100,18,25
312,gpt,1135,207,283
313,user,21,3,5
314,gpt,1135,200,283
315,user,97,14,24
316,gpt,1331,238,332
317,user,113,21,28
318,gpt,1604,299,401
319,user,111,22,27
320,gpt,1157,212,289
321,user,98,20,24
322,gpt,367,62,91
323,user,20,3,5
324,gpt,433,75,108
325,user,31,5,7
326,gpt,702,126,175
327,user,32,8,8
328,gpt,767,139,191
329,user,156,28,39
330,gpt,984,168,246
331,user,133,27,33
332,gpt,1250,220,312
333,user,30,4,7
334,gpt,1065,190,266
335,user,266,52,66
336,gpt,1899,309,474
337,user,77,16,19
338,gpt,1384,236,346
339,user,87,15,21
340,gpt,1578,272,394
341,user,212,37,53
342,gpt,1045,174,261
343,user,226,46,56
344,gpt,2533,431,633
345,user,425,78,106
346,gpt,3965,640,991
347,user,320,61,80
348,gpt,1569,272,392
349,user,54,11,13
350,gpt,1894,296,473
351,user,208,41,52
352,gpt,2795,445,698
353,user,7,3,1
354,gpt,2796,435,699
355,user,116,19,29
356,gpt,1796,310,449
357,user,20,3,5
358,gpt,2977,483,744
359,user,65,11,16
360,gpt,3289,568,822
