turn,speaker,chars,words,tokens_est
1,user,139,28,34
2,gpt,848,132,212
3,user,121,22,30
4,gpt,404,79,101
5,user,91,18,22
6,gpt,303,53,75
7,user,73,15,18
8,gpt,428,72,107
9,user,173,35,43
10,gpt,405,72,101
11,user,64,13,16
12,gpt,246,43,61
13,user,53,10,13
14,gpt,294,52,73
15,user,63,11,15
16,gpt,263,52,65
17,user,60,12,15
18,gpt,354,66,88
19,user,68,13,17
20,gpt,353,58,88
21,user,50,11,12
22,gpt,602,102,150
23,user,108,16,27
24,gpt,1510,233,377
25,user,34,7,8
26,gpt,1813,308,453
27,user,70,13,17
28,gpt,482,86,120
29,user,21,5,5
30,gpt,944,160,236
31,user,56,11,14
32,gpt,967,163,241
33,user,29,6,7
34,gpt,426,70,106
35,user,91,19,22
36,gpt,585,100,146
37,user,33,6,8
38,gpt,462,84,115
39,user,72,15,18
40,gpt,431,81,107
41,user,75,15,18
42,gpt,389,63,97
43,user,69,15,17
44,gpt,514,85,128
45,user,99,17,24
46,gpt,509,88,127
47,user,60,11,15
48,gpt,605,106,151
49,user,302,58,75
50,gpt,692,123,173
51,user,38,9,9
52,gpt,560,100,140
53,user,20,4,5
54,gpt,602,109,150
55,user,81,15,20
56,gpt,574,102,143
57,user,64,13,16
58,gpt,475,79,118
59,user,291,50,72
60,gpt,574,101,143
61,user,49,7,12
62,gpt,417,59,104
63,user,39,8,9
64,gpt,520,91,130
65,user,33,6,8
66,gpt,396,72,99
67,user,117,19,29
68,gpt,1270,193,317
69,user,129,20,32
70,gpt,2167,362,541
71,user,97,20,24
72,gpt,1017,172,254
73,user,40,8,10
74,gpt,459,73,114
75,user,44,9,11
76,gpt,696,133,174
77,user,92,19,23
78,gpt,900,155,225
79,user,65,13,16
80,gpt,706,125,176
81,user,73,15,18
82,gpt,1302,236,325
83,user,81,14,20
84,gpt,1127,206,281
85,user,8,2,2
86,gpt,399,69,99
87,user,89,18,22
88,gpt,705,129,176
89,user,129,24,32
90,gpt,1414,244,353
91,user,17,4,4
92,gpt,587,103,146
93,user,124,25,31
94,gpt,592,91,148
95,user,75,12,18
96,gpt,506,86,126
97,user,62,12,15
98,gpt,521,95,130
99,user,65,14,16
100,gpt,836,144,209
101,user,103,20,25
102,gpt,834,148,208
103,user,119,22,29
104,gpt,967,176,241
105,user,71,14,17
106,gpt,697,125,174
107,user,71,13,17
108,gpt,1030,183,257
109,user,187,42,46
110,gpt,621,108,155
111,user,44,9,11
112,gpt,566,106,141
113,user,54,9,13
114,gpt,721,136,180
115,user,48,11,12
116,gpt,698,125,174
117,user,37,8,9
118,gpt,641,115,160
119,user,56,13,14
120,gpt,565,103,141
121,user,57,12,14
122,gpt,906,159,226
123,user,117,20,29
124,gpt,896,158,224
125,user,37,7,9
126,gpt,499,95,124
127,user,248,44,62
128,gpt,775,137,193
129,user,65,14,16
130,gpt,620,112,155
131,user,14,4,3
132,gpt,693,119,173
133,user,84,17,21
134,gpt,674,111,168
135,user,98,19,24
136,gpt,662,114,165
137,user,39,8,9
138,gpt,369,66,92
139,user,82,14,20
140,gpt,1019,170,254
141,user,26,4,6
142,gpt,393,61,98
143,user,91,18,22
144,gpt,592,104,148
145,user,18,4,4
146,gpt,1010,171,252
147,user,185,32,46
148,gpt,1833,300,458
149,user,75,15,18
150,gpt,1044,195,261
151,user,61,9,15
152,gpt,960,164,240
153,user,75,15,18
154,gpt,1040,186,260
155,user,56,12,14
156,gpt,662,119,165
157,user,64,12,16
158,gpt,734,135,183
159,user,68,12,17
160,gpt,926,163,231
